,ID,Accepted
0,3639,True
1,8397,True
2,8345,True
3,3990,False
4,0979,True
5,0953,True
6,1913,False
7,3132,True
8,2236,False
9,4295,False
10,5148,False
11,3843,True
12,2422,True
13,6687,True
14,1894,False
15,7001,True
16,2888,True
17,5539,True
18,7919,True
19,0520,True
20,6555,False
21,2521,True
22,6800,True
23,7262,True
24,8344,False
25,0877,True
26,5902,True
27,0099,True
28,3221,False
29,4374,False
30,8029,True
31,4372,True
32,9642,True
33,9873,True
34,4563,True
35,4504,False
36,6474,True
37,6675,True
38,7802,True
39,6857,False
40,7430,True
41,1861,True
42,7790,True
43,8070,False
44,0959,True
45,2021,False
46,0768,True
47,3274,True
48,7416,True
49,4090,False
50,2769,True
51,6527,True
52,0752,True
53,3924,True
54,9039,True
55,8962,True
56,8626,True
57,1979,False
58,8965,False
59,6814,False
60,8390,True
61,3589,True
62,4797,True
63,3744,True
64,7522,True
65,1346,True
66,8415,True
67,6175,True
68,5481,True
69,9480,True
70,0950,True
71,6890,True
72,6112,True
73,6649,True
74,5220,False
75,5757,True
76,8886,False
